message,label
"URGENTE: Su contraseña del campus expirará hoy. Confirme su cuenta ahora en http://falso-reset.example",1
"Reminder: your CIS-110 assignment is due tonight at 11:59 PM.",0
"Su cuenta será suspendida si no verifica su contraseña inmediatamente.",1
"Your advising appointment is scheduled for Monday at 10 AM.",0
"Actualice su cuenta ahora para evitar interrupciones del servicio.",1
"Canvas reminder: weekly discussion post due tomorrow.",0
"Premio disponible después de confirmar su cuenta en http://falso-premio.example",1
"Library hours have been extended during finals week.",0
"URGENT: Verify your campus credentials now to keep access active.",1
"Financial aid office hours have changed for this week.",0
"Su portal estudiantil necesita verificación inmediata.",1
"Reminder: chemistry lab starts at 2 PM today.",0
"Nowe: please reset your account password immediately.",1
"Career center workshop registration closes Friday.",0
"Su contraseña debe restablecerse ahora para mantener su cuenta activa.",1
"Discussion forum grading has been completed.",0
"Confirm your student email account now and receive a bonus reward.",1
"Your textbook voucher has been approved.",0
"Acción requerida: confirme su cuenta hoy mismo.",1
"Campus transfer fair will be held next Tuesday.",0